Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
125790-77994,G,Cameron,Cameron Davis,Davis,23.799999237060547,1,7100,,,,,,,,,G
125790-79537,G,Justin,Justin Lower,Lower,48.46296296296296,27,7100,,,,,,,,,G
125790-201440,G,Blades,Blades Brown,Brown,48.275001525878906,8,7100,,,,,,,,,G
125790-79597,G,Chad,Chad Ramey,Ramey,59.70000076293945,1,7100,,,,,,,,,G
125790-85239,G,Zachary,Zachary Bauchou,Bauchou,60.79999923706055,1,7100,,,,,,,,,G
125790-78857,G,Kevin,Kevin Streelman,Streelman,56.19000244140625,10,7000,,,,,,,,,G
125790-117269,G,Isaiah,Isaiah Salinda,Salinda,21.5,1,7000,,,,,,,,,G
125790-77869,G,Michael,Michael Block,Block,11,2,7000,,,,,,,,,G
125790-78394,G,Andrew,Andrew Landry,Landry,,0,7000,,,,,,,,,G
125790-78655,G,Matthieu,Matthieu Pavon,Pavon,66.5999984741211,1,7000,,,,,,,,,G
125790-79954,G,Hank,Hank Lebioda,Lebioda,17.200000762939453,1,7000,,,,,,,,,G
125790-151383,G,Danny,Danny Walker,Walker,28.200000762939453,1,7000,,,,,,,,,G
125790-77911,G,Brian,Brian Campbell,Campbell,22.399999618530273,1,7000,,,,,,,,,G
125790-77914,G,Rafael,Rafael Campos,Campos,21.5,1,7000,,,,,,,,,G
125790-78942,G,Camilo,Camilo Villegas,Villegas,48.44615290715144,26,7000,,,,,,,,,G
125790-231523,G,Davis,Davis Chatfield,Chatfield,22.299999237060547,1,7000,,,,,,,,,G
125790-240747,G,Seung-taek,Seung-taek Lee,Lee,26.799999237060547,1,7000,,,,,,,,,G
125790-240749,G,Pontus,Pontus Nyholm,Nyholm,17.600000381469727,1,7000,,,,,,,,,G
125790-78450,G,David,David Lipsky,Lipsky,51.003570556640625,28,7000,,,,,,,,,G
125790-78456,G,Adam,Adam Long,Long,25.299999237060547,1,7000,,,,,,,,,G
125790-79480,G,Lanto,Lanto Griffin,Griffin,48.707406503182874,27,7000,,,,,,,,,G
125790-180875,G,Chandler,Chandler Blanchet,Blanchet,10.600000381469727,1,7000,,,,,,,,,G
125790-183182,G,Gordon,Gordon Sargent,Sargent,17.899999618530273,1,7000,,,,,,,,,G
125790-78223,G,Charley,Charley Hoffman,Hoffman,52.24615478515625,13,7000,,,,,,,,,G
125790-78491,G,Peter,Peter Malnati,Malnati,17.299999237060547,1,7000,,,,,,,,,G
125790-77984,G,Joel,Joel Dahmen,Dahmen,52.06153752253606,26,7000,,,,,,,,,G
125790-170675,G,A.J.,A.J. Ewart,Ewart,19.600000381469727,1,7000,,,,,,,,,G
125790-85171,G,John,John VanDerLaan,VanDerLaan,36.29999923706055,1,7000,,,,,,,,,G
125790-172208,G,Adrien,Adrien Saddier,Saddier,29.100000381469727,1,7000,,,,,,,,,G
125790-79798,G,Jimmy,Jimmy Stanger,Stanger,,0,7000,,,,,,,,,G
125790-165827,G,Jeffrey,Jeffrey Kang,Kang,14.600000381469727,1,7000,,,,,,,,,G
125790-187338,G,Frankie,Frankie Capan,Capan,39.62307504507211,26,7000,,,,,,,,,G
125790-187343,G,Karl,Karl Vilips,Vilips,57.13499755859375,20,7000,,,,,,,,,G
125790-78291,G,Zach,Zach Johnson,Johnson,57.70000076293945,1,7000,,,,,,,,,G
125790-78034,G,Jason,Jason Dufner,Dufner,38.699999128069194,7,7000,,,,,,,,,G
125790-78821,G,Brandt,Brandt Snedeker,Snedeker,53.604166666666664,24,7000,,,,,,,,,G
125790-116964,G,Harry,Harry Higgs,Higgs,53.78077110877404,26,7000,,,,,,,,,G
125790-79602,G,Marcelo,Marcelo Rozo,Rozo,11.600000381469727,1,7000,,,,,,,,,G
